label,data
Construction,"도시철도 건설공사현장 인접사면 일부 붕괴사고 공사명 도시철도 공구 건설공사 사고일시 2019년 2월 22일(금) 06:15분경 기상상태 맑음 소재지 부산시 사상구  사고 종류 기타 구조물 손실 -  인적피해 -   장비 손실 -    1) 공사개요 공사종류：지하철 공사규모：본선 2,146m, 정거장 128m, 환기구 38m 공사기간：2016.7~2021.6 2) 사고경위 사면상부에서 발생한 낙석에 의해 울타리 일부가 손괴됨  3) 사고원인 금번 사고는 기존 응급복구가 실시된 사면(ʼ13년도 1월 사면붕괴 발생되어 복구공사 후 계측관리)과 약 100m 이격된 암반사면에서 발생하였으며, 지난 2월 19~20일의 강우에 의한 지표수 침투 및 해빙기 동결융해 등의 영향으로 암반사면의 불연속면이 약해져 붕괴 및 낙석이 발생함   관리감독자는 지반의 붕괴 또는 토석의 낙하에 의한 근로자의 위험을 방지하기 위하여 작업 시작 전에 작업 장소 파악 및 그 주변의 부석･균열의 유무, 함수(함수)･용수(용수) 및 동결상태의 변화를 점검하여야 한다. 비탈면의 시공 시 강우가 있을 경우를 대비하여 측구(측구)를 설치하거나 비탈면에 비닐을 덮는 등 안전조치를 실시하여 빗물이나 지표수 침투에 의한 붕괴재해가 발생하지 않도록 예방조치를 실시하여야 한다. 지반의 붕괴 또는 토석의 낙하 원인이 되는 빗물이나 지표수 등의 침투를 배제할 수 있도록 안전조치를 실시해야 한다."
Construction,"교량상판 콘크리트 타설중 붕괴사고 공사명 국지도호선 도로개설공사 3공구 사고일시 2015년 03월 25일(수) 17:18분경  기상상태 맑음 소재지 경기도 용인시 처인구  사고종류 붕괴 구조물 손실 슬래브  인적피해 사망 1명, 중상 1명, 경상 7명 장비 손실 -    공사개요 o 공사종류:도로교량(지중 RC 라멘교) o 규모: 총연장L=5.36km, 소교량 8개소   사고경위 o 교량상판 콘크리트 타설중(1,500㎥ 타설계획중 약 1,000㎥ 타설) 하부의 시스템동바리가 좌굴 변형되면서 상부슬래브(폭 15.5m)가 붕괴됨.   사고원인 o 가시설물 설계 단계에서 구조적 검토가 부적절하게 수행되어, 수직재 등에서 적정한 안전수준을 미확보. o 교축직각방향으로의 수직재 배치간격을 임의로 늘려서 배치하여 각 수직재가 받는 수직하중이 증가되었으며, 경사재가 전혀 설치되지 않음. o 구조계산서 및 시공계획서와 상이하게 시공하여, 2단 벽체 타설부에 설치된 수평지지용 서포트가 성능을 발휘하지 못했을 것으로 추정. o 시스템동바리는 재사용 자재가 현장에서 많이 사용되므로, 가설공사표준시방서의 ‘동바리 설계’, ‘일반사항’에서 규정한 바에 따라 재사용자재의 성능저하를 반드시 고려. o 가새는 동바리의 구조적인 안전성 확보에 대단히 중요한 부재이므로 가새 설치 위치, 설치 방향, 설치 수량 등에 대해서 상세히 설계하고 조립도 작성. o 동바리는 재사용을 하는 가설기자재이므로 현장에 동바리가 반입되면 반드시 철저한 검수가 필요. o 콘크리트의 집중 타설, 벽체 및 슬래브 일괄 타설, 슬래브 거푸집 위 자재의 집중적치 등이 발생하지 않도록 콘크리트의 타설은 설계도면이나 시공계획서 상의 타설 순서대로 하여야 한다."
Construction,"물류창고 신축공사 슬래브 붕괴사고 공사명 물류창고 신축공사 사고일시 2016년 11월 15일(화) 15:30분경  기상상태 맑음 소재지 김포시 고촌읍 전효리  사고 종류 붕괴 구조물 손실 슬래브  인적피해 경상 5명, 중상 3명 장비 손실 -    공사개요 o 공사종류:기타 o 연면적:8482㎡ o 규모: 지하 0층/지상 4층   사고경위 o 총 14개 바닥 슬래브 중 5개의 바닥 슬래브 con'c 타설 실시 중 3층 바닥슬래브(데크공법) 5개 바닥 슬래브 구간에 con'c를 1차 타설 완료(총 530mm 중 350mm 두께) 후 2차 타설(180mm)하던 중 2개의 바닥슬래브가 붕괴되어 작업자 13명 중 8명이 추락하여 부상   사고원인 o 시스템 동바리 구조계산 및 시공계획 부실. o 수평연결재 미시공(시공시 수평연결재 미시공). ※ 구조계산서에 주의사항으로 수평연결재에 대해 명기→현장 미시공 o 타설시 편재하에 영향에 대한 3차원 구조해석 미실시(가새 필요성 미검토). o 시스템동바리는 재사용 자재가 현장에서 많이 사용되므로, 가설공사표준시방서의 ‘동바리 설계’, ‘일반사항’에서 규정한 바에 따라 재사용자재의 성능저하를 반드시 고려. o 가새는 동바리의 구조적인 안전성 확보에 대단히 중요한 부재이므로 가새 설치 위치, 설치 방향, 설치 수량 등에 대해서 상세히 설계하고 조립도 작성. o 동바리는 재사용을 하는 가설기자재이므로 현장에 동바리가 반입되면 반드시 철저한 검수가 필요. o 콘크리트의 집중 타설, 벽체 및 슬래브 일괄 타설, 슬래브 거푸집 위 자재의 집중적치 등이 발생하지 않도록 콘크리트의 타설은 설계도면이나 시공계획서 상의 타설 순서대로 하여야 한다."
Construction,"주택 재개발 정비사업현장 외벽 전도사고 공사명  생활권 구역 주택재개발 정비사업 사고일시 2017년 5월 23일(화) 13:38분경  기상상태 흐름 소재지 경기도 의정부시  사고 종류 넘어짐(전도) 구조물 손실 -  인적피해 사망 1명   장비 손실 백호    1) 공사개요 대지면적：47,447㎡ 철거기간：2016.9~2019.2 철거공법：CRUSHER(압쇄) + CUTTER(절단) + BREAKER(브레이커) 공법 2) 사고경위 건축물(지상4층 공동주택) 철거작업 중 외벽이 백호우 방향으로 전도 3) 사고원인 지상 4층 건물의 1~2층(약4~5m) 한쪽 외벽이 인근 언덕위에 존치되어 있어 언덕의 경사반대 방향에서 철거작업을 진행하도록 지시하였으나 지시에 불응하고 작업을 강행하던 중 반복되는 작업진동으로 인하여 외벽이 경사방향으로 전도되면서 백호우를 덮친 것으로 추정   해체공사 시 작업자는 현장소장으로부터 유의사항 및 현장상황을 충분히 확인한 후 안전에 유의하여 작업을 실시하여야 한다. 구조물 해체공사 전에 설계도면, 구조 계산서, 시방서, 공사비 내역서, 현장 설명서 등을 포함한 설계도서를 필히 작성하여 사전에 담당직원에게 승인을 받아야 한다. 설계도서의 보존 여부와 관계없이 현지조사를 실시하여 구조형식이나 증･개축에 대한 기록 등을 확인한 후 건물의 규모, 구조, 특징 등을 고려한 해체 수량의 산정이나 해체공법이 적정하게 선정되도록 해야 한다."
Construction,"철도 공구 횡갱 풍도슬래브 붕괴사고 공사명 철도 공구 노반공사 사고일시 2015년 12월 23일(수) 07:25분경  기상상태 흐림 소재지 경기도 용인시 기흥구  사고 종류 붕괴 구조물 손실 슬래브  인적피해 사망 1명, 중상 1명 장비손실 -    공사개요 o 공사종류:철도터널 o 규모: 공사연장 5.911km(역 1식, 수직구 3개소, 작업구 3개소)   사고경위 o 사고현장 수직구 횡갱 풍도슬래브 PC구조물의 Joint부위에 무수축 몰탈 충진 후 슬래브 중앙에 거치된 Pipe Suport의 해체 작업 중 슬래브 일부(30m 중 17m)가 탈락되어 작업자 2명 사상.   사고원인 o PC판넬 연결부 무수축 몰탈(강도 35MPa)이 적정 강도를 발현하기 전에 미리 동바리를 해체하여 몰탈이 슬래브(PC판넬) 자중에 의한 압축력을 견디지 못하여 슬래브가 하부로 쳐지면서 과다변위로 붕괴된 것으로 추정됨. o 프리캐스트 콘크리트 부재의 운반과 설치는 부재에 손상을 주지 않는 방법으로 하여야 한다. o 프리캐스트 콘크리트 부재는 하중보다 용량이 큰 기계적인 양중장비를 사용하여 제자리에 정밀하게 세워 설치하여야 한다. o 프리캐스트 콘크리트 부재는 명시된 허용오차 이내가 되도록 설치하여야 하며, 명시된 순서에 따라 설치하여야 한다. 부재는 힘의 편심작용이 없게 정확한 위치를 세우고, 지지면과 완전하고 균등하게 접합되게 하여야 한다. o 감리자는 프리캐스트 콘크리트의 양생온도, 탈 형시 강도, 프리스트레tm 도입시 강도를 시험하여 이 시방서와 합치하는지를 검사하여야 한다. 또한 프리캐스트 콘크리트에 해로운 균열, 파손, 비틀림, 휨 등이 발생하지 않았는지 확인하여야 한다. o 프리캐스트 콘크리트의 균열하중, 파괴하중 및 기타 필요한 설질에 대한 품질관리 및 검사는 실물을 직접 시험하여 실시하는 것을 원칙으로 한다."
Construction,"아파트 타워크레인 전도사고 공사명  -블록 아파트 건설공사 사고일시 2017년 5월 22일(월) 16:50분경  기상상태 맑음 소재지 경기도 남양주시  사고 종류 넘어짐(전도) 구조물 손상 슬래브  인적피해 사망 3명, 부상 2명   장비 손실 타워크레인    1) 공사개요 용도：공동주택 연면적：189,001㎡ 규모：지하 1층/지상 29층 공사기간：2016.5~2019.1 2) 사고경위 902동에  설치된  타워크레인  마스트의  인상(Telescoping)작업을  진행하던  중에  부품(요크) 파손으로 인해 균형을 유지하지 못한 타워크레인 상부구조(지브 및 마스트 등)가 전도됨. 3) 사고원인 수입산 순정 부품(요크)이 아닌 국내 철공소에서 제작한 비순정 부품을 사용함으로써 압력을 견디지 못하고 파손됨.   산업안전보건기준에 관한 규칙 제141조에 의거하여 타워크레인 설치･조립･해체작업을 실시하는 경우에는 설치･조립 및 해체순서, 작업인원의 구성 및 작업근로자의 역할 범위 등의 작업 세부계획이 수립된 작업계획서를 작성하고 해당 근로자에게 알려 그 계획에 따라 작업을 실시하여야 한다. 규격품인 조립용 볼트를 사용하여 대칭되도록 차례로 결합, 분해하여야 한다. 작업구역에는 관계 근로자가 아닌 경우 출입을 금지하고 그 취지를 잘 보이는 곳에 공지하여야 한다. 기상상태가 불안정하거나 날씨가 몹시 나쁜 경우에는 해당 작업을 중지시켜야 한다. 크레인의 성능, 사용조건 등에 따라 충분한 응력(응력)을 갖는 구조로 기초를 설치하고, 기초부의 파손, 침하 등이 발생하지 않도록 조치한다. 작업 전 일상안전점검 등을 실시하여 이상 여부를 확인하도록 한다."
Construction,"숙박시설 해체공사현장 붕괴사고 공사명  동 관광숙박시설 신축공사 사고일시 2017년 1월 7일(토) 11:30분경  기상상태 맑음 소재지 서울시 종로구  사고 종류 무너짐(붕괴･도괴) 구조물 손실 슬래브  인적피해 사망 2명, 부상 2명   장비 손실 백호우    1) 공사개요 용도：숙박시설 연면적：3,554㎡ 규모：지하 3층/지상 11층 공사기간：2016.10~2017.1 2) 사고경위 호텔 리모델링을 위해 기존 건물(지하3층, 지상11층) 1층 바닥슬래브에서 백호우(버켓 0.6㎥)로 1층∼3층 벽체 해체작업을 실시하던 중 1층 바닥슬래브가 붕괴되면서 백호우(운전자 포함)와 인근에서 살수작업 중이던 근로자 3명이 지하 2층∼3층으로 추락 및 매몰 3) 사고원인 해체 대상건물 1층 바닥에 적재된 해체 잔재물 및 중장비(장비중량 14.5톤)의 하중을 바닥 슬래브 등 하부구조물이 견디지 못하고 붕괴된 것으로 추정 철거 대상층 하부 슬래브의 하중지지용 잭서포트 미시공 또는 설치수량 부족 등 해체작업에 필요한 구조보강이 미흡했던 것으로 추정   해체공사 착수 전 시공사가 를 수립하고 발주청 및 인･허가기관에 제출하여 승인을 받아야 한다. 구조물 해체공사 전에 설계도면, 구조 계산서, 시방서, 공사비 내역서, 현장 설명서 등을 포함한 설계도서를 필히 작성하여 사전에 담당직원에게 승인을 받아야 한다. 설계도서의 보존 여부와 관계없이 현지조사를 실시하여 구조형식이나 증･개축에 대한 기록 등을 확인한 후 건물의 규모, 구조, 특징 등을 고려한 해체 수량의 산정이나 해체공법이 적정하게 선정되도록 해야 한다."
Construction,"청소년수련원 신축공사현장 외부비계 붕괴사고 공사명   청소년 수련원 건축공사 사고일시 2017년 1월 3일(화) 9:46분경  기상상태 맑음 소재지 제주도 서귀포시  사고 종류 넘어짐(전도) 구조물 손실 외부비계  인적피해 부상 3명   장비 손실 -    1) 공사개요 용도：청소년 수련시설 연면적：9,471㎡ 규모：지하 1층/지상 2층 공사기간：2015.12~2016.12 2) 사고경위 2동 후면부의 1층 외벽 돌붙이기 작업 중 가설 외부비계(연장 약 30m, 높이 6~8m)가 순차적으로 전도･붕괴되어 작업자 3명 부상 3) 사고원인 외벽 도장공사를 위해 설치한 가설 외부비계의 고정대(벽연결재) 일부를 제거한 상태에서 외벽석재를 적치해 둔 돌붙이기 공사용 쌍줄비계 작업발판이 하중으로 작용하여 외부비계가 아래 그림의 A구간에서부터 순차적으로 전도･붕괴된 사고(추정)   비계 조립 전에 바닥부 지반상태 및 비계의 구조, 강도, 기능 및 재료 등에 결함이 없는지 면밀히 검토하여야 한다. 비계 및 작업 발판은 공종별 시공계획서 및 시공상세도에 따라 설치하여야 한다. 작업상 부득이하게 일부 부재를 제거하는 경우에는 제거 상태에서의 비계성능이 현저하게 저하되지는 않는지 사전에 확인하여야 하며, 작업 종료 후에는 반드시 원상복구를 하여야 한다. 비계 해체작업은 공사감독자의 승인을 받은 후 관리감독자의 지휘 하에 작업을 시작하여야 한다. 비계 조립 및 해체작업을 실시하는 근로자는 산업안전보건법 제47조 및 유해･위험작업의 취업 제한에 관한 규칙에 의거하여 기능습득교육을 받은 자 또는 동등 이상의 자격을 갖춘 자이어야 한다."
Construction,"복합건물 신축공사 타워크레인 전도사고 공사명 동 복합건물 신축공사 사고일시 2015년 09월 16일(수) 14:30분경  기상상태 맑음 소재지 인천시 부평구 부평동  사고 종류 전도 구조물 손실 -  인적피해 중상 1명, 경상 2명 장비 손실 타워크레인, 이동식크레인    공사개요 o 공사종류:업무시설(오피스텔 및 다세대 주택) o 연면적: 2,145㎡ o 규모: 지하 1층/지상 10층   사고경위 o 타워크레인 설치작업 중 타워크레인이 인근(북쪽) 경인선 전철쪽으로 전도되어 붕괴되면서 타워크레인 설치를 위해 작업 중이던 인근의 이동식 크레인과 경인선 전철 동력선을 파손함.   사고원인 o 타워크레인의 붕괴원인은 타워크레인 기초(콘크리트 블록)가 지반에 충분히 고정되지 못하여 편하중에 의해 붕괴가 발생된 것으로 추정. o 산업안전보건기준에 관한 규칙에 따라 타워크레인을 설치, 조립, 해체하는 작업을 하는 경우 근로자의 위험을 방지하기 위하여 해당 작업, 지형, 지반 및 지층상태 등에 대한 사전조사를 하고 그 결과를 기록, 보관하여야 하며, 조사결과를 고려하여 작업계획서를 작성하고 그 계획에 따라 작업을 수행 한다. o 기초앵커의 지지 및 고정을 위해 설계지내력 시험을 반드시 이행하며, 설계지내력 기준 미달시 파일 항타 시행 검토. o 기초설치시 T/C 매뉴얼 및 설계기준에 따른 적정규격의 T/C기초를 시공하며, T/C의 카운터 웨이트는 카운터지브 조립시 1개를 거치한 후, 메인지브 설치 시 나머지 1개를 거치하는 등 T/C의 조립 절차를 준수한다."
Construction,"교회 신축공사현장 거푸집 전도사고 공사명   시내교회 신축공사 사고일시 2017년 10월 14일(토) 14:20분경  기상상태 맑음 소재지 충청북도 제천시  사고 종류 넘어짐(전도) 구조물 손실 거푸집  인적피해 사망 1명   장비손실 -    1) 공사개요 용도：문화 및 집회시설 연면적：296㎡ 규모：지상 3층 공사기간：2016.8~ 2) 사고경위 건축물 외벽 및 내부벽체의 콘크리트 타설(약 100㎥)을 마치고, 건축물의 출입구에 약 5㎥의 단독벽체(연장6m, 높이4m,  폭0.2m)를 타설하던  중 거푸집 벽체가  외측으로 전도되면서 벽체외부 쌍줄비계에서 거푸집 두드리기 작업 중이던 근로자 1명 사망 3) 사고원인 사고 당일 콘크리트 타설은 1층 벽체구간의 외벽 및 내부벽체 2.4m 높이까지 계획되었으나, 사고가 발생한 거푸집은 당일 추가로 단독벽체(연장6m, 높이4m, 폭0.2m)의 4m 높이를 일체로 타설하였으며, 거푸집의 내･외부 전도방지 지지대(동바리)의 상태가 전반적으로 미흡(전용 받침물 미사용 및 고정상태 미흡)한 상황에서 작업 중 진동, 충격, 콘크리트 편심타설(벽체 하부 계량기 단자함 설치 공간으로 일부 모르타르 유출) 등의 영향에 의한 침하 및 유격 발생으로 거푸집이 전도된 것으로 추정   건설공사 중 거푸집 및 동바리는 공종별 시공계획서 및 시공상세도에 따라 설치하여야 하며, 콘크리트 타설로 인해 시공허용오차를 넘는 변형이 발생하지 않도록 제작, 설치하여야 한다. 거푸집 조립 및 해체작업을 실시하는 근로자는 산업안전보건법 제47조 및 유해･위험작업의 취업 제한에 관한 규칙에 따라 기능습득교육을 받은 자 또는 동등 이상의 자격을 갖춘 자 이어야 한다."
