label,data
Construction,토목-004 도시철도 건설공사현장 인접사면 일부 붕괴사고 공사명 도시철도 선 공구 건설공사 사고일시 2019년 2월 22일 금 06 15분경 기상상태 맑음 소재지 부산시 사상구 사고 종류 기타 구조물 손실 - 안전관리계획서 장비 손실 2 사고경위 사면상부에서 발생한 낙석에 의해 울타리 일부가 손괴됨 3 사고원인 금번 사고는 기존 응급복구가 실시된 사면 13년도 1월 사면붕괴 발생되어 복구공사 후 계측 관리 과 약 100m 이격된 암반사면에서 발생하였으며 지난 2월 19 20일의 강우에 의한 지표수 침투 및 해빙기 동결융해 등의 영향으로 암반사면의 불연속면이 약해져 붕괴 및 낙석이 발생함 재발방지대책 관리감독자는 지반의 붕괴 또는 토석의 낙하에 의한 근로자의 위험을 방지하기 위하여 작업 시작 전에 작업 장소 파악 및 그 주변의 부석 지반의 붕괴 또는 토석의 낙하 원인이 되는 빗물이나 지표수 등의 침투를 배제할 수 있도록 안전 조치를 실시해야 한다
Construction,15-003 교 교량상판 콘크리트 타설중 붕괴사고 공사명 국지도 호선 - 도로개설공사 3공구 사고일시 2015년 03월 25일 수 17 18분경 기상상태 맑음 소재지 경기도 용인시 처인구 사고 종류 붕괴 구조물 손실 슬래브 인적피해 사망 1명 중상 1명 경상 7명 안전관리계획서 장비 손실 - 해당 해당없음 수립 대상 여부 사고경위 사고원인 o 가새는 동바리의 구조적인 안전성 확보에 대단히 중요한 부재이므로 가새 설치 위치 설치 방향 설치 수량 등에 대해서 상세히 설계하고 조립도 작성
Construction,16-021 물류창고 신축공사 슬래브 붕괴사고 공사명 물류창고 신축공사 사고일시 2016년 11월 15일 화 15 30분경 기상상태 맑음 소재지 김포시 고촌읍 전효리 사고 종류 붕괴 구조물 손실 슬래브 인적피해 경상 5명 중상 3명 안전관리계획서 장비 손실 사고원인 구조계산서에 주의사항으로 수평연결재에 대해 명기 현장 미시공 o 시스템동바리는 재사용 자재가 현장에서 많이 사용되므로 가설공사표준 시방서의 동바리 설계 일반사항 에서 규정한 바에 따라 재사용자재의 성능저하를 반드시 고려
Construction,건축-003 주택 재개발 정비사업현장 외벽 전도사고 공사명 생활권 구역 주택재개발 정비사업 사고일시 2017년 5월 23일 화 13 38분경 기상상태 흐름 소재지 경기도 의정부시 사고 종류 넘어짐 전도 구조물 손실 - 인적피해 사망 1명 안전관리계획서 장비 손실 백호 해당 해당없음 수립 대상 여부 3 사고원인 지상 4층 건물의 1 2층 약4 5m 한쪽 외벽이 인근 언덕위에 존치되어 있어 언덕의 경사반대 방향에서 철거작업을 진행하도록 지시하였으나 지시에 불응하고 작업을 강행하던 중 반복되는 작업진동으로 인하여 외벽이 경사방향으로 전도되면서 백호우를 덮친 것으로 추정 재발방지대책 해체공사 시 작업자는 현장소장으로부터 유의사항 및 현장상황을 충분히 확인한 후 안전에 유의 하여 작업을 실시하여야 한다 구조물 해체공사 전에 설계도면 구조 계산서 시방서 공사비 내역서 현장 설명서 등을 포함한 설계도서를 필히 작성하여 사전에 담당직원에게 승인을 받아야 한다
Construction,15-029 철도 공구 횡갱 풍도슬래브 붕괴사고 공사명 철도 공구 노반공사 사고일시 2015년 12월 23일 수 07 25분경 기상상태 흐림 소재지 경기도 용인시 기흥구 사고 종류 붕괴 구조물 손실 슬래브 인적피해 사망 1명 중상 1명 안전관리계획서 장비손실 사고원인
Construction,건축-005 업무시설 신축현장 방수작업 중 폭발사고 공사명 사옥 신축공사 사고일시 2019년 5월 17일 금 13 34분경 기상상태 맑음 소재지 서울시 성동구 사고 종류 폭발 화재 구조물 손실 - 인적피해 사망 2명 안전관리계획서 장비 손실 사고개요 3 사고원인 준공 전 건축물을 검사하던 중 저수조에서 누수가 발생하는 것을 확인하고 일부구간에서 방수 공사를 실시한 후 저수조에 유증기가 차있는 상태에서 질식사 또는 작업자 흡연으로 인한 폭발 사고 추정 저수조 사다리 인근 폭발흔적 발견 현장 내 담배 및 라이터 발견 등 재발방지대책 사업주는 인화성 액체의 증기 인화성 가스 또는 인화성 고체가 존재하여 폭발이나 화재가 발 생할 우려가 있는 장소에서 해당 증기 환기설비가 없는 공사현장에서는 강제 환기설비를 갖추어야 한다
Construction,건축-001 아파트 타워크레인 전도사고 공사명 - 블록 아파트 건설공사 사고일시 2017년 5월 22일 월 16 50분경 기상상태 맑음 소재지 경기도 남양주시 사고 종류 넘어짐 전도 구조물 손상 슬래브 인적피해 사망 3명 부상 2명 안전관리계획서 장비 손실 타워크레인 해당 해당없음 수립 대상 여부 3 사고원인 수입산 순정 부품 요크 이 아닌 국내 철공소에서 제작한 비순정 부품을 사용함으로써 압력을 견디지 못하고 파손됨 해체작업을 실시하는 경우에는 설치 규격품인 조립용 볼트를 사용하여 대칭되도록 차례로 결합 분해하여야 한다 건설사고 사례집사고현장 사고현장 위치도 사고현황 타워크레인 마스트 현황 제3장 현장조사 사례
Construction,건축-001 숙박시설 해체공사현장 붕괴사고 공사명 동 관광숙박시설 신축공사 사고일시 2017년 1월 7일 토 11 30분경 기상상태 맑음 소재지 서울시 종로구 사고 종류 무너짐 붕괴 도괴 구조물 손실 슬래브 인적피해 사망 2명 부상 2명 안전관리계획서 장비 손실 백호우 해당 해당없음 수립 대상 여부 사고개요 3 사고원인 해체 대상건물 1층 바닥에 적재된 해체 잔재물 및 중장비 장비중량 145톤 의 하중을 바닥 슬래브 등 하부구조물이 견디지 못하고 붕괴된 것으로 추정 철거 대상층 하부 슬래브의 하중지지용 잭서포트 미시공 또는 설치수량 부족 등 해체작업에 필요한 구조보강이 미흡했던 것으로 추정 개축에 대한 기록 등을 확인한 후 건물의 규모 구조 특징 등을 고려한 해체 수량의 산정이나 해체공법이 적정하게 선정되도록 해야 한다
Construction,건축-004 판매시설 신축현장 용접작업 중 화재사고 공사명 역 몰 신축공사 사고일시 2019년 3월 27일 수 16 30분경 기상상태 흐림 소재지 경기도 용인시 사고 종류 폭발 화재 구조물 손실 건축물 4층 일부 인적피해 - 안전관리계획서 장비 손실 2 사고경위 4층 천장 철골부재 하부 플랜지 산소용접 작업 중 화재 발생 X3 4 Y4 5 부근 3 사고원인 상부층 조경시설물 추가 등 하중증가로 인한 설계변경 실시 보강부재 설치 필요 보강부재 설치를 위한 용접작업 중 인근에 기 설치된 철골부재의 단열재 1 2개월전 시공 에 용접 불티가 붙어 발생한 화재로 추정 건축물의 구조기준 등에 관한 규칙
Construction,건축-001 청소년수련원 신축공사현장 외부비계 붕괴사고 공사명 청소년 수련원 건축공사 사고일시 2017년 1월 3일 화 9 46분경 기상상태 맑음 소재지 제주도 서귀포시 사고 종류 넘어짐 전도 구조물 손실 외부비계 인적피해 부상 3명 안전관리계획서 장비 손실 1 공사개요 용도 청소년 수련시설 연면적 9 471 규모 지하 1층 지상 2층 공사기간 201512 201612 3 사고원인 외벽 도장공사를 위해 설치한 가설 외부비계의 고정대 벽연결재 일부를 제거한 상태에서 외벽석재를 적치해 둔 돌붙이기 공사용 쌍줄비계 작업발판이 하중으로 작용하여 외부비계가 아래 그림의 A구간에서부터 순차적으로 전도 비계 및 작업 발판은 공종별 시공계획서 및 시공상세도에 따라 설치하여야 한다
